user_id,age_group,dietary_restrictions,signup_date
user_0039,36-45,None,2025-01-13 19:59:02.864215
user_0040,56-65,Kosher,2024-09-29 19:59:02.864216
user_0041,26-35,Kosher,2024-03-24 19:59:02.864217
user_0042,46-55,Kosher,2024-05-05 19:59:02.864218
user_0043,26-35,Vegan,2025-03-28 19:59:02.864219
user_0044,26-35,Kosher,2024-01-21 19:59:02.864219
user_0045,56-65,Vegan,2023-07-15 19:59:02.864220
user_0046,56-65,Gluten-free,2023-02-10 19:59:02.864221
user_0047,56-65,Gluten-free,2024-08-12 19:59:02.864222
user_0048,26-35,Vegetarian,2024-03-14 19:59:02.864223
user_0049,46-55,None,2023-07-06 19:59:02.864224
user_0050,18-25,None,2025-03-14 19:59:02.864225
user_0051,65+,Vegetarian,2023-05-29 19:59:02.864226
user_0052,65+,Gluten-free,2023-12-16 19:59:02.864227
user_0053,18-25,Gluten-free,2024-07-23 19:59:02.864228
user_0054,56-65,Gluten-free,2024-02-23 19:59:02.864229
user_0055,36-45,Halal,2023-03-20 19:59:02.864230
user_0056,18-25,Kosher,2023-08-10 19:59:02.864231
user_0057,18-25,Kosher,2023-02-23 19:59:02.864232
user_0058,56-65,Vegan,2023-06-22 19:59:02.864233
user_0059,65+,Vegan,2025-04-25 19:59:02.864234
user_0060,36-45,Gluten-free,2025-03-09 19:59:02.864235
user_0061,46-55,None,2023-08-09 19:59:02.864236
user_0062,65+,Vegan,2024-03-23 19:59:02.864237
user_0063,26-35,Halal,2023-01-26 19:59:02.864238
user_0064,18-25,Kosher,2024-10-16 19:59:02.864239
user_0065,65+,Halal,2023-12-03 19:59:02.864240
user_0066,26-35,Vegetarian,2024-07-31 19:59:02.864241
user_0067,26-35,Halal,2023-06-12 19:59:02.864242
user_0068,56-65,None,2023-12-13 19:59:02.864243
user_0069,36-45,Gluten-free,2025-07-29 19:59:02.864244
user_0070,18-25,Vegan,2023-03-02 19:59:02.864245
user_0071,36-45,Vegetarian,2025-06-19 19:59:02.864246
user_0072,26-35,Halal,2022-12-22 19:59:02.864247
user_0073,18-25,None,2023-07-30 19:59:02.864248
user_0074,46-55,None,2023-07-01 19:59:02.864249
user_0075,56-65,Vegetarian,2025-04-08 19:59:02.864250
user_0076,65+,Gluten-free,2022-12-22 19:59:02.864251
user_0077,56-65,Vegetarian,2024-11-19 19:59:02.864252
user_0078,56-65,Halal,2024-06-10 19:59:02.864253
user_0079,26-35,Halal,2023-07-06 19:59:02.864254
user_0080,65+,Kosher,2025-01-24 19:59:02.864255
user_0081,65+,Vegan,2024-07-05 19:59:02.864256
user_0082,65+,Kosher,2024-07-31 19:59:02.864257
user_0083,46-55,Halal,2024-05-12 19:59:02.864258
user_0084,18-25,Vegetarian,2024-12-30 19:59:02.864259
user_0085,18-25,Vegan,2025-07-27 19:59:02.864260
user_0086,56-65,Halal,2024-12-25 19:59:02.864261
user_0087,56-65,Vegetarian,2025-08-10 19:59:02.864262
user_0088,18-25,Kosher,2023-11-10 19:59:02.864263
user_0089,18-25,Vegetarian,2025-06-09 19:59:02.864264
user_0090,18-25,Vegan,2025-06-06 19:59:02.864265
user_0091,56-65,Vegetarian,2024-11-05 19:59:02.864266
user_0092,65+,Gluten-free,2025-01-10 19:59:02.864267
user_0093,56-65,Vegetarian,2023-08-08 19:59:02.864268
user_0094,56-65,Halal,2024-04-20 19:59:02.864269
user_0095,26-35,Gluten-free,2023-05-14 19:59:02.864270
user_0096,46-55,Vegetarian,2025-05-13 19:59:02.864271
user_0097,18-25,Kosher,2024-06-02 19:59:02.864272
user_0098,36-45,Gluten-free,2024-06-23 19:59:02.864273
user_0099,46-55,Kosher,2025-06-23 19:59:02.864274
user_0100,65+,Kosher,2023-10-26 19:59:02.864275
user_0101,18-25,None,2024-07-01 19:59:02.864276
user_0102,65+,Vegan,2023-05-21 19:59:02.864277
user_0103,18-25,Vegetarian,2025-02-02 19:59:02.864278
user_0104,26-35,Halal,2024-05-15 19:59:02.864279
user_0105,26-35,Gluten-free,2025-02-11 19:59:02.864280
user_0106,36-45,Gluten-free,2024-12-05 19:59:02.864281
user_0107,18-25,Gluten-free,2023-05-13 19:59:02.864282
user_0108,56-65,None,2025-06-27 19:59:02.864283
user_0109,65+,Halal,2023-04-14 19:59:02.864285
user_0110,18-25,None,2023-01-12 19:59:02.864286
user_0111,26-35,Vegetarian,2024-06-27 19:59:02.864287
user_0112,46-55,Gluten-free,2025-01-11 19:59:02.864288
user_0113,46-55,None,2025-03-02 19:59:02.864289
user_0114,46-55,None,2024-07-14 19:59:02.864290
user_0115,36-45,Gluten-free,2024-10-29 19:59:02.864291
user_0116,46-55,Kosher,2023-07-31 19:59:02.864292
user_0117,56-65,Kosher,2023-08-13 19:59:02.864293
user_0118,46-55,Vegetarian,2025-02-04 19:59:02.864294
user_0119,36-45,Vegetarian,2025-06-19 19:59:02.864295
user_0120,56-65,Kosher,2024-02-09 19:59:02.864296
user_0121,18-25,Kosher,2024-09-30 19:59:02.864297
user_0122,18-25,None,2023-12-28 19:59:02.864298
user_0123,46-55,Halal,2023-01-19 19:59:02.864299
user_0124,56-65,Vegetarian,2025-06-20 19:59:02.864300
user_0125,56-65,None,2023-03-30 19:59:02.864301
user_0126,26-35,None,2023-12-17 19:59:02.864302
user_0127,18-25,Kosher,2023-03-19 19:59:02.864302
user_0128,26-35,Gluten-free,2025-04-17 19:59:02.864303
user_0129,56-65,Vegetarian,2024-01-03 19:59:02.864305
user_0130,56-65,None,2023-11-22 19:59:02.864306
user_0131,18-25,Gluten-free,2023-10-14 19:59:02.864307
user_0132,56-65,Halal,2024-02-29 19:59:02.864308
user_0133,36-45,Vegan,2025-01-20 19:59:02.864309
user_0134,65+,Kosher,2024-09-30 19:59:02.864310
user_0135,26-35,Vegan,2024-07-08 19:59:02.864311
user_0136,26-35,Kosher,2023-10-27 19:59:02.864311
user_0137,36-45,Gluten-free,2024-09-28 19:59:02.864312
user_0138,18-25,None,2024-05-05 19:59:02.864314
user_0139,56-65,Halal,2025-05-07 19:59:02.864315
user_0140,18-25,Halal,2025-01-11 19:59:02.864316
user_0141,56-65,Vegan,2025-04-04 19:59:02.864316
user_0142,36-45,None,2023-03-01 19:59:02.864318
user_0143,26-35,Vegan,2024-10-30 19:59:02.864318
user_0144,26-35,Gluten-free,2023-04-17 19:59:02.864319
user_0145,56-65,Kosher,2024-10-12 19:59:02.864320
user_0146,56-65,Kosher,2024-02-23 19:59:02.864321
user_0147,18-25,Kosher,2023-05-04 19:59:02.864322
user_0148,56-65,Vegan,2023-01-06 19:59:02.864323
user_0149,65+,None,2022-12-30 19:59:02.864324
user_0150,26-35,Vegan,2025-04-21 19:59:02.864325
user_0151,18-25,Kosher,2024-01-29 19:59:02.864326
user_0152,26-35,Vegan,2024-11-02 19:59:02.864327
user_0153,56-65,Vegetarian,2023-08-14 19:59:02.864328
user_0154,36-45,Vegetarian,2023-09-14 19:59:02.864329
user_0155,65+,Vegan,2024-03-18 19:59:02.864330
user_0156,46-55,Vegan,2023-02-02 19:59:02.864331
user_0157,18-25,None,2023-11-07 19:59:02.864332
user_0158,46-55,Vegan,2025-07-03 19:59:02.864333
user_0159,18-25,Vegan,2023-06-20 19:59:02.864334
user_0160,26-35,Kosher,2024-11-22 19:59:02.864335
user_0161,26-35,Kosher,2024-05-22 19:59:02.864336
user_0162,56-65,Kosher,2024-06-06 19:59:02.864337
user_0163,56-65,None,2025-04-25 19:59:02.864338
user_0164,18-25,Kosher,2023-02-04 19:59:02.864339
user_0165,26-35,Halal,2025-07-12 19:59:02.864340
user_0166,36-45,Halal,2024-01-30 19:59:02.864341
user_0167,26-35,Gluten-free,2025-04-09 19:59:02.864342
user_0168,18-25,Vegan,2024-08-09 19:59:02.864343
user_0169,18-25,Vegan,2025-01-14 19:59:02.864344
user_0170,65+,Vegetarian,2023-10-05 19:59:02.864346
user_0171,18-25,Vegan,2023-06-11 19:59:02.864347
user_0172,56-65,Gluten-free,2023-11-21 19:59:02.864348
user_0173,65+,Vegetarian,2023-01-13 19:59:02.864349
user_0174,26-35,Vegetarian,2023-05-21 19:59:02.864350
user_0175,26-35,Gluten-free,2025-07-23 19:59:02.864351
user_0176,26-35,Kosher,2023-01-14 19:59:02.864352
user_0177,36-45,Gluten-free,2023-05-19 19:59:02.864353
user_0178,65+,Kosher,2023-05-10 19:59:02.864354
user_0179,26-35,Vegan,2025-03-07 19:59:02.864355
user_0180,65+,None,2024-07-22 19:59:02.864356
user_0181,18-25,Gluten-free,2025-01-02 19:59:02.864357
user_0182,26-35,Gluten-free,2024-08-24 19:59:02.864358
user_0183,36-45,Vegetarian,2025-01-01 19:59:02.864359
user_0184,18-25,Kosher,2025-02-01 19:59:02.864360
user_0185,46-55,Vegan,2024-11-05 19:59:02.864361
user_0186,18-25,Vegan,2024-08-23 19:59:02.864362
user_0187,65+,Halal,2024-07-04 19:59:02.864363
user_0188,65+,Halal,2024-09-12 19:59:02.864364
user_0189,18-25,None,2023-03-03 19:59:02.864365
user_0190,36-45,Vegetarian,2024-01-01 19:59:02.864366
user_0191,36-45,None,2025-04-28 19:59:02.864367
user_0192,56-65,Gluten-free,2024-08-29 19:59:02.864368
user_0193,65+,Vegan,2024-05-28 19:59:02.864369
user_0194,56-65,Halal,2025-04-21 19:59:02.864370
user_0195,46-55,Halal,2025-02-04 19:59:02.864371
user_0196,36-45,None,2023-08-23 19:59:02.864372
user_0197,46-55,None,2024-03-03 19:59:02.864373
user_0198,56-65,Kosher,2023-08-12 19:59:02.864374
user_0199,65+,Kosher,2023-10-01 19:59:02.864375
user_0200,26-35,Vegan,2024-06-02 19:59:02.864376
user_0201,18-25,Kosher,2023-01-18 19:59:02.864377
user_0202,36-45,Halal,2024-09-30 19:59:02.864378
user_0203,65+,None,2023-08-11 19:59:02.864379
user_0204,36-45,Halal,2024-10-05 19:59:02.864380
user_0205,65+,Gluten-free,2024-09-17 19:59:02.864381
user_0206,46-55,Kosher,2024-10-19 19:59:02.864382
user_0207,56-65,Vegetarian,2025-02-02 19:59:02.864383
user_0208,46-55,Kosher,2022-12-29 19:59:02.864384
user_0209,46-55,Kosher,2023-07-13 19:59:02.864385
user_0210,26-35,Halal,2024-01-13 19:59:02.864386
user_0211,36-45,Gluten-free,2024-02-03 19:59:02.864387
user_0212,18-25,Vegan,2024-10-28 19:59:02.864388
user_0213,26-35,Gluten-free,2023-06-05 19:59:02.864389
user_0214,56-65,Halal,2023-10-17 19:59:02.864390
user_0215,36-45,Gluten-free,2024-05-22 19:59:02.864391
user_0216,46-55,Kosher,2025-01-11 19:59:02.864392
user_0217,56-65,Gluten-free,2023-05-28 19:59:02.864393
user_0218,65+,Vegetarian,2023-10-13 19:59:02.864394
user_0219,18-25,Vegan,2024-03-08 19:59:02.864395
user_0220,65+,Kosher,2023-11-22 19:59:02.864396
user_0221,36-45,None,2023-05-02 19:59:02.864397
user_0222,26-35,Kosher,2024-10-04 19:59:02.864398
user_0223,26-35,Vegetarian,2025-03-20 19:59:02.864399
user_0224,18-25,None,2024-12-10 19:59:02.864400
user_0225,46-55,Halal,2023-03-31 19:59:02.864401
user_0226,18-25,Gluten-free,2024-06-19 19:59:02.864402
user_0227,65+,Halal,2025-01-30 19:59:02.864403
user_0228,65+,Kosher,2024-07-20 19:59:02.864404
user_0229,46-55,Gluten-free,2024-12-11 19:59:02.864405
user_0230,26-35,Kosher,2023-09-13 19:59:02.864406
user_0231,18-25,None,2023-06-12 19:59:02.864407
user_0232,46-55,Vegetarian,2025-02-18 19:59:02.864408
user_0233,65+,Halal,2024-04-29 19:59:02.864409
user_0234,18-25,Halal,2024-12-05 19:59:02.864410
user_0235,18-25,Gluten-free,2025-04-03 19:59:02.864411
user_0236,46-55,Kosher,2024-02-21 19:59:02.864412
user_0237,56-65,Halal,2024-09-27 19:59:02.864413
user_0238,46-55,Halal,2023-05-06 19:59:02.864414
user_0239,65+,Halal,2024-06-07 19:59:02.864415
user_0240,56-65,Gluten-free,2023-02-11 19:59:02.864416
user_0241,26-35,Kosher,2023-03-19 19:59:02.864417
user_0242,46-55,Gluten-free,2024-11-25 19:59:02.864418
user_0243,26-35,Kosher,2024-11-07 19:59:02.864419
user_0244,56-65,Gluten-free,2023-11-15 19:59:02.864421
user_0245,26-35,Vegan,2024-05-24 19:59:02.864422
user_0246,18-25,Kosher,2024-10-29 19:59:02.864422
user_0247,26-35,Vegan,2024-09-08 19:59:02.864424
user_0248,36-45,Halal,2025-05-27 19:59:02.864425
user_0249,26-35,Vegetarian,2024-12-24 19:59:02.864425
user_0250,46-55,Kosher,2025-03-14 19:59:02.864426
user_0251,65+,Vegetarian,2025-06-13 19:59:02.864427
user_0252,46-55,Gluten-free,2024-09-13 19:59:02.864428
user_0253,56-65,Gluten-free,2024-06-18 19:59:02.864429
user_0254,18-25,Vegetarian,2023-04-18 19:59:02.864430
user_0255,46-55,Gluten-free,2023-02-03 19:59:02.864431
user_0256,56-65,Kosher,2025-07-28 19:59:02.864432
user_0257,56-65,Gluten-free,2024-04-16 19:59:02.864434
user_0258,18-25,Vegan,2024-10-16 19:59:02.864435
user_0259,46-55,Gluten-free,2024-02-13 19:59:02.864436
user_0260,65+,Kosher,2024-02-05 19:59:02.864437
user_0261,56-65,Vegetarian,2024-04-05 19:59:02.864438
user_0262,26-35,Vegan,2024-05-28 19:59:02.864439
user_0263,46-55,None,2024-07-15 19:59:02.864440
user_0264,36-45,Kosher,2023-09-22 19:59:02.864441
user_0265,46-55,Kosher,2025-03-01 19:59:02.864442
user_0266,46-55,Vegetarian,2023-11-19 19:59:02.864443
user_0267,56-65,None,2023-02-01 19:59:02.864444
user_0268,46-55,Halal,2024-01-18 19:59:02.864445
user_0269,65+,None,2025-05-24 19:59:02.864446
user_0270,65+,Gluten-free,2025-04-01 19:59:02.864448
user_0271,46-55,Vegetarian,2025-06-27 19:59:02.864449
user_0272,36-45,Gluten-free,2024-09-16 19:59:02.864450
user_0273,26-35,Gluten-free,2024-09-17 19:59:02.864451
user_0274,36-45,Gluten-free,2024-11-06 19:59:02.864452
user_0275,46-55,Vegan,2023-04-16 19:59:02.864453
user_0276,18-25,Gluten-free,2025-07-29 19:59:02.864454
user_0277,65+,Halal,2025-06-25 19:59:02.864455
user_0278,36-45,Vegetarian,2023-10-22 19:59:02.864456
user_0279,18-25,Kosher,2025-07-07 19:59:02.864457
user_0280,18-25,Vegetarian,2025-01-25 19:59:02.864458
user_0281,18-25,Halal,2025-03-14 19:59:02.864459
user_0282,26-35,Vegetarian,2024-04-20 19:59:02.864460
user_0283,65+,None,2024-01-18 19:59:02.864461
user_0284,26-35,Gluten-free,2023-09-01 19:59:02.864462
user_0285,36-45,Vegan,2025-02-27 19:59:02.864463
user_0286,56-65,Halal,2023-07-14 19:59:02.864464
user_0287,65+,None,2023-06-13 19:59:02.864465
user_0288,26-35,Vegan,2025-04-29 19:59:02.864466
user_0289,56-65,None,2023-01-09 19:59:02.864467
user_0290,36-45,Halal,2023-09-24 19:59:02.864469
user_0291,46-55,Gluten-free,2022-12-27 19:59:02.864470
user_0292,65+,Vegetarian,2025-06-01 19:59:02.864471
user_0293,56-65,Kosher,2023-04-20 19:59:02.864472
user_0294,65+,Vegetarian,2025-05-05 19:59:02.864473
user_0295,65+,Vegan,2023-03-31 19:59:02.864474
user_0296,65+,Halal,2023-05-16 19:59:02.864475
user_0297,18-25,Halal,2023-06-08 19:59:02.864476
user_0298,18-25,Vegan,2024-02-19 19:59:02.864477
user_0299,46-55,Kosher,2024-08-03 19:59:02.864478
user_0300,18-25,Halal,2023-10-24 19:59:02.864479
user_0301,36-45,None,2023-04-01 19:59:02.864480
user_0302,46-55,Gluten-free,2025-05-01 19:59:02.864481
user_0303,46-55,Vegan,2023-11-06 19:59:02.864482
user_0304,46-55,Kosher,2025-03-14 19:59:02.864483
user_0305,46-55,Vegetarian,2023-07-28 19:59:02.864484
user_0306,56-65,Kosher,2024-11-14 19:59:02.864485
user_0307,56-65,Halal,2023-06-16 19:59:02.864486
user_0308,46-55,Gluten-free,2024-05-28 19:59:02.864487
user_0309,65+,Halal,2024-11-16 19:59:02.864488
user_0310,36-45,Vegetarian,2023-04-20 19:59:02.864489
user_0311,18-25,Vegan,2023-02-27 19:59:02.864490
user_0312,46-55,Vegetarian,2023-07-11 19:59:02.864491
user_0313,46-55,Halal,2023-12-02 19:59:02.864492
user_0314,65+,Gluten-free,2024-09-07 19:59:02.864493
user_0315,18-25,Gluten-free,2023-03-30 19:59:02.864494
user_0316,36-45,Vegetarian,2024-04-05 19:59:02.864495
user_0317,26-35,Vegan,2023-05-24 19:59:02.864496
user_0318,36-45,Vegan,2024-11-04 19:59:02.864497
user_0319,56-65,Kosher,2023-02-28 19:59:02.864498
user_0320,36-45,Halal,2025-08-07 19:59:02.864499
user_0321,56-65,Vegetarian,2025-05-22 19:59:02.864500
user_0322,26-35,Kosher,2024-06-27 19:59:02.864501
user_0323,46-55,Halal,2023-07-03 19:59:02.864502
user_0324,26-35,Kosher,2024-04-17 19:59:02.864503
user_0325,65+,Kosher,2024-04-02 19:59:02.864504
user_0326,46-55,None,2025-05-14 19:59:02.864505
user_0327,36-45,Vegetarian,2024-06-29 19:59:02.864506
user_0328,65+,Vegetarian,2024-10-08 19:59:02.864507
user_0329,65+,Halal,2024-08-05 19:59:02.864508
user_0330,46-55,Halal,2024-02-21 19:59:02.864509
user_0331,36-45,Gluten-free,2023-07-16 19:59:02.864510
user_0332,56-65,Vegan,2024-08-22 19:59:02.864511
user_0333,65+,Gluten-free,2024-11-13 19:59:02.864512
user_0334,36-45,Vegan,2024-12-24 19:59:02.864513
user_0335,18-25,Kosher,2025-02-01 19:59:02.864514
user_0336,36-45,None,2023-07-19 19:59:02.864515
user_0337,56-65,Kosher,2025-02-09 19:59:02.864516
user_0338,26-35,Vegetarian,2023-07-23 19:59:02.864517
user_0339,46-55,Vegan,2023-08-07 19:59:02.864518
user_0340,56-65,Halal,2023-12-15 19:59:02.864519
user_0341,36-45,None,2023-04-18 19:59:02.864520
user_0342,26-35,Vegan,2024-12-28 19:59:02.864521
user_0343,36-45,Vegetarian,2024-10-12 19:59:02.864522
user_0344,18-25,Kosher,2024-02-18 19:59:02.864523
user_0345,26-35,Vegan,2025-07-02 19:59:02.864524
user_0346,18-25,Halal,2024-10-22 19:59:02.864525
user_0347,65+,Vegetarian,2023-11-03 19:59:02.864526
user_0348,46-55,None,2023-03-08 19:59:02.864527
user_0349,18-25,Halal,2024-10-30 19:59:02.864528
user_0350,46-55,Gluten-free,2024-05-23 19:59:02.864529
user_0351,36-45,Vegetarian,2025-06-26 19:59:02.864530
user_0352,36-45,Gluten-free,2025-04-23 19:59:02.864531
user_0353,18-25,Gluten-free,2024-04-01 19:59:02.864533
user_0354,18-25,Halal,2023-11-12 19:59:02.864534
user_0355,65+,None,2025-03-15 19:59:02.864535
user_0356,26-35,Halal,2024-10-10 19:59:02.864536
user_0357,18-25,Vegetarian,2025-04-18 19:59:02.864537
user_0358,56-65,Gluten-free,2023-12-06 19:59:02.864538
user_0359,56-65,Halal,2024-12-29 19:59:02.864539
user_0360,56-65,Gluten-free,2024-05-13 19:59:02.864540
user_0361,46-55,Vegan,2023-03-21 19:59:02.864541
user_0362,56-65,Gluten-free,2024-10-09 19:59:02.864542
user_0363,56-65,Halal,2025-06-17 19:59:02.864543
user_0364,56-65,Kosher,2025-05-08 19:59:02.864544
user_0365,26-35,Kosher,2025-01-13 19:59:02.864545
user_0366,36-45,Kosher,2025-05-26 19:59:02.864546
user_0367,26-35,Vegetarian,2025-02-21 19:59:02.864547
user_0368,56-65,None,2025-03-10 19:59:02.864548
user_0369,18-25,Gluten-free,2024-05-13 19:59:02.864549
user_0370,65+,Halal,2024-04-23 19:59:02.864550
user_0371,36-45,None,2024-12-23 19:59:02.864551
user_0372,36-45,Kosher,2024-11-01 19:59:02.864552
user_0373,65+,Gluten-free,2025-06-06 19:59:02.864553
user_0374,65+,Vegetarian,2023-01-14 19:59:02.864554
user_0375,36-45,Kosher,2023-12-23 19:59:02.864555
user_0376,65+,Vegetarian,2024-06-08 19:59:02.864556
user_0377,18-25,Halal,2024-12-30 19:59:02.864557
user_0378,65+,Vegetarian,2023-01-30 19:59:02.864558
user_0379,36-45,Vegetarian,2025-06-05 19:59:02.864559
user_0380,18-25,Vegetarian,2023-05-29 19:59:02.864560
user_0381,36-45,Halal,2023-07-13 19:59:02.864561
user_0382,56-65,Vegan,2024-05-25 19:59:02.864562
user_0383,18-25,Gluten-free,2023-09-12 19:59:02.864563
user_0384,36-45,Kosher,2024-07-01 19:59:02.864564
user_0385,36-45,Halal,2024-02-12 19:59:02.864565
user_0386,46-55,Gluten-free,2025-05-27 19:59:02.864566
user_0387,56-65,None,2023-02-19 19:59:02.864568
user_0388,46-55,Kosher,2024-09-21 19:59:02.864569
user_0389,56-65,Vegan,2025-07-22 19:59:02.864569
user_0390,18-25,Vegetarian,2023-09-27 19:59:02.864570
user_0391,56-65,Halal,2025-07-27 19:59:02.864572
user_0392,65+,Vegan,2024-01-05 19:59:02.864573
user_0393,18-25,Vegetarian,2024-04-23 19:59:02.864574
user_0394,56-65,Kosher,2024-05-22 19:59:02.864575
user_0395,36-45,Vegetarian,2023-12-27 19:59:02.864576
user_0396,46-55,Kosher,2023-05-07 19:59:02.864577
user_0397,46-55,None,2024-04-23 19:59:02.864578
user_0398,36-45,Gluten-free,2024-09-10 19:59:02.864579
user_0399,36-45,Kosher,2025-05-02 19:59:02.864580
user_0400,26-35,Vegan,2024-06-22 19:59:02.864581
user_0401,65+,Gluten-free,2024-10-26 19:59:02.864582
user_0402,65+,Gluten-free,2023-05-07 19:59:02.864583
user_0403,56-65,None,2024-05-09 19:59:02.864584
user_0404,18-25,Vegan,2024-12-02 19:59:02.864585
user_0405,36-45,None,2023-06-18 19:59:02.864586
user_0406,46-55,Halal,2023-04-26 19:59:02.864587
user_0407,18-25,Kosher,2023-03-11 19:59:02.864588
user_0408,56-65,Gluten-free,2024-06-20 19:59:02.864589
user_0409,18-25,Vegetarian,2024-03-05 19:59:02.864590
user_0410,36-45,Halal,2023-07-05 19:59:02.864591
user_0411,46-55,Kosher,2024-05-22 19:59:02.864592
user_0412,18-25,Vegetarian,2024-11-17 19:59:02.864593
user_0413,56-65,Vegetarian,2023-01-11 19:59:02.864594
user_0414,36-45,Gluten-free,2023-02-28 19:59:02.864595
user_0415,65+,Gluten-free,2025-04-15 19:59:02.864596
user_0416,18-25,Kosher,2023-12-03 19:59:02.864597
user_0417,26-35,Kosher,2025-03-08 19:59:02.864598
user_0418,36-45,Halal,2025-08-03 19:59:02.864599
user_0419,56-65,Gluten-free,2025-05-14 19:59:02.864600
user_0420,26-35,None,2024-05-02 19:59:02.864601
user_0421,18-25,Kosher,2023-04-18 19:59:02.864602
user_0422,26-35,Gluten-free,2023-01-05 19:59:02.864603
user_0423,65+,Vegan,2024-03-14 19:59:02.864604
user_0424,65+,Vegan,2024-06-18 19:59:02.864605
user_0425,46-55,Gluten-free,2024-12-11 19:59:02.864606
user_0426,46-55,Halal,2025-03-22 19:59:02.864607
user_0427,46-55,Vegetarian,2023-01-17 19:59:02.864608
user_0428,56-65,Halal,2023-07-15 19:59:02.864609
user_0429,26-35,None,2024-11-08 19:59:02.864610
user_0430,46-55,Vegan,2023-01-04 19:59:02.864612
user_0431,56-65,Vegan,2023-04-30 19:59:02.864613
user_0432,18-25,Vegan,2023-08-05 19:59:02.864614
user_0433,36-45,Halal,2024-01-02 19:59:02.864615
user_0434,65+,Gluten-free,2023-03-15 19:59:02.864616
user_0435,26-35,Gluten-free,2024-02-13 19:59:02.864617
user_0436,46-55,Vegan,2024-09-11 19:59:02.864618
user_0437,56-65,Halal,2024-07-27 19:59:02.864619
user_0438,46-55,Vegan,2023-03-11 19:59:02.864620
user_0439,26-35,Kosher,2024-12-16 19:59:02.864621
user_0440,56-65,Gluten-free,2024-12-21 19:59:02.864622
user_0441,46-55,None,2024-09-26 19:59:02.864623
user_0442,65+,Gluten-free,2023-08-26 19:59:02.864624
user_0443,46-55,Gluten-free,2023-10-08 19:59:02.864625
user_0444,65+,Vegetarian,2024-03-28 19:59:02.864626
user_0445,18-25,Vegetarian,2024-03-21 19:59:02.864627
user_0446,56-65,Vegan,2023-03-11 19:59:02.864628
user_0447,18-25,Gluten-free,2025-05-07 19:59:02.864629
user_0448,56-65,Gluten-free,2025-08-02 19:59:02.864630
user_0449,65+,Vegetarian,2024-06-24 19:59:02.864631
user_0450,65+,Vegetarian,2025-06-02 19:59:02.864632
user_0451,46-55,Vegan,2024-09-05 19:59:02.864633
user_0452,56-65,Kosher,2024-07-06 19:59:02.864634
user_0453,65+,None,2023-03-29 19:59:02.864635
user_0454,36-45,Kosher,2023-03-22 19:59:02.864636
user_0455,56-65,Gluten-free,2024-09-27 19:59:02.864637
user_0456,65+,Kosher,2023-02-21 19:59:02.864639
user_0457,46-55,Halal,2025-07-12 19:59:02.864640
user_0458,56-65,None,2024-12-20 19:59:02.864641
user_0459,65+,Kosher,2023-01-17 19:59:02.864642
user_0460,36-45,Vegetarian,2023-07-15 19:59:02.864643
user_0461,18-25,Gluten-free,2025-05-09 19:59:02.864644
user_0462,65+,Kosher,2023-03-08 19:59:02.864645
user_0463,18-25,Gluten-free,2025-02-28 19:59:02.864646
user_0464,65+,Vegan,2023-02-04 19:59:02.864647
